[x=-3.150000, n=10]
[x=-3.050000, n=10]
[x=-2.950000, n=10]
[x=-2.850000, n=10]
[x=-2.750000, n=10]
[x=-2.650000, n=9]
[x=-2.550000, n=9]
[x=-2.450000, n=9]
[x=-2.350000, n=9]
[x=-2.250000, n=9]
[x=-2.150000, n=8]
[x=-2.050000, n=8]
[x=-1.950000, n=8]
[x=-1.850000, n=8]
[x=-1.750000, n=8]
[x=-1.650000, n=8]
[x=-1.550000, n=7]
[x=-1.450000, n=7]
[x=-1.350000, n=7]
[x=-1.250000, n=7]
[x=-1.150000, n=7]
[x=-1.050000, n=6]
[x=-0.950000, n=6]
[x=-0.850000, n=6]
[x=-0.750000, n=6]
[x=-0.650000, n=5]
[x=-0.550000, n=5]
[x=-0.450000, n=5]
[x=-0.350000, n=4]
[x=-0.250000, n=4]
[x=-0.150000, n=4]
[x=-0.050000, n=3]
[x=0.050000, n=3]
[x=0.150000, n=4]
[x=0.250000, n=4]
[x=0.350000, n=4]
[x=0.450000, n=5]
[x=0.550000, n=5]
[x=0.650000, n=5]
[x=0.750000, n=6]
[x=0.850000, n=6]
[x=0.950000, n=6]
[x=1.050000, n=6]
[x=1.150000, n=7]
[x=1.250000, n=7]
[x=1.350000, n=7]
[x=1.450000, n=7]
[x=1.550000, n=7]
[x=1.650000, n=8]
[x=1.750000, n=8]
[x=1.850000, n=8]
[x=1.950000, n=8]
[x=2.050000, n=8]
[x=2.150000, n=8]
[x=2.250000, n=9]
[x=2.350000, n=9]
[x=2.450000, n=9]
[x=2.550000, n=9]
[x=2.650000, n=9]
[x=2.750000, n=10]
[x=2.850000, n=10]
[x=2.950000, n=10]
[x=3.050000, n=10]
